AccentCity,Population,Latitude,Longitude
Aachen,251104.0,50.770833,6.105278
Aalen,67593.0,48.833333,10.1
Abensberg,12543.0,48.816666999999995,11.85
Achern,24272.0,48.633333,8.066667
Achim,30117.0,53.033333,9.016667
Adendorf,9917.0,53.283333,10.45
Aerzen,12114.0,52.033333,9.266667
Ahaus,38932.0,52.066666999999995,7.0
Ahlen,55112.0,51.75,7.9166669999999995
Ahrensburg,30797.0,53.683333,10.25
Aichach,20935.0,48.466667,11.133333
Ainring,9852.0,47.816666999999995,12.95
Aken,9350.0,51.85,12.05
Albstadt,47064.0,48.25,9.016667
Aldenhoven,14335.0,50.9,6.283333
Alfeld,21258.0,51.983333,9.833333
Alfter,22028.0,50.733333,7.016667
Alpen,12970.0,51.583333,6.516667
Alsdorf,46558.0,50.883333,6.1666669999999995
Alsfeld,17968.0,50.75,9.266667
Altdorf,11709.0,48.15,12.183333
Altena,20641.0,51.3,7.6666669999999995
Altenburg,38338.0,50.983333,12.45
Altenholz,9721.0,54.4,10.133333
Altenstadt,12388.0,50.283333,8.95
Altensteig,11122.0,48.583333,8.6
Altusried,10084.0,47.8,10.216667
Alzenau,19083.0,50.083333,9.066667
Alzey,17945.0,49.751667,8.116111
Amberg,44873.0,49.441389,11.862222000000001
Andernach,29089.0,50.433333000000005,7.4
Anklam,14533.0,53.86666700000001,13.7
Annaberg-Buchholz,22849.0,50.566666999999995,13.0
Ansbach,40822.0,49.3,10.583333
Apen,11093.0,53.216667,7.8
Apolda,24380.0,51.016667,11.5
Arnsberg,77415.0,51.383333,8.083333
Arnstadt,25995.0,50.833333,10.95
Aschaffenburg,69248.0,49.973889,9.149167
Ascheberg,15327.0,51.783333,7.616667
Aschersleben,24569.0,51.75,11.466667
Asperg,12627.0,48.9,9.116667
Attendorn,25014.0,51.116667,7.9
Aue,18630.0,50.583333,12.7
Auerbach,25430.0,50.516667,12.4
Augsburg,261842.0,48.366667,10.883333
Augustdorf,10275.0,51.9,8.733333
Aurich,40987.0,53.466667,7.483333
Babenhausen,16551.0,49.966667,8.957778
Backnang,36477.0,48.95,9.433333
Bad Aibling,17926.0,47.866667,12.0
Bad Bentheim,15436.0,52.316666999999995,7.1666669999999995
Bad Berleburg,20830.0,51.05,8.4
Bad Bevensen,8808.0,53.083332999999996,10.583333
Bad Bramstedt,13303.0,53.916667000000004,9.883333
Bad Camberg,13920.0,50.3,8.266667
Bad Doberan,11373.0,54.1,11.9
Bad Driburg,19743.0,51.733333,9.016667
Bad Ems,9468.0,50.333333,7.716667
Baden-Baden,54802.0,48.75,8.25
Bad Essen,15858.0,52.316666999999995,8.333333
Bad Frankenhausen,9102.0,51.35,11.1
Bad Freienwalde,15108.0,52.783333,14.033332999999999
Bad Gandersheim,11100.0,51.866667,10.033333
Bad Harzburg,22670.0,51.883333,10.566667
Bad Hersfeld,30630.0,50.866667,9.7
Bad Homburg,51923.0,50.216667,8.616667
